epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2185.2,1.19124,0.70323,1.15152,0.84306,0.81639,0.8425,0.51395,1.24336,0.6256,1.14052,0.008614,0.008614,0.008614
44,2235.9,1.16224,0.68114,1.13709,0.84977,0.81516,0.84467,0.51313,1.23901,0.6252,1.14474,0.008581,0.008581,0.008581
45,2286.53,1.18065,0.68121,1.14518,0.8588,0.80651,0.84952,0.51546,1.23161,0.61352,1.14494,0.008548,0.008548,0.008548
46,2337.36,1.17688,0.68412,1.14441,0.85994,0.8047,0.84391,0.51292,1.23254,0.63036,1.14192,0.008515,0.008515,0.008515
47,2388.31,1.16926,0.67788,1.13472,0.85096,0.81779,0.84075,0.51261,1.22289,0.62735,1.14541,0.008482,0.008482,0.008482
48,2439.33,1.1701,0.67673,1.13591,0.85202,0.80577,0.84148,0.51399,1.20899,0.62164,1.13343,0.008449,0.008449,0.008449
49,2490.03,1.16913,0.66985,1.13522,0.86357,0.80039,0.8387,0.5127,1.23226,0.62526,1.14907,0.008416,0.008416,0.008416
50,2540.66,1.15401,0.6626,1.13344,0.85843,0.81435,0.84303,0.51602,1.22334,0.61621,1.13794,0.008383,0.008383,0.008383
51,2591.6,1.16491,0.66852,1.12772,0.84487,0.81692,0.84514,0.52083,1.22205,0.60379,1.14039,0.00835,0.00835,0.00835
52,2642.57,1.16758,0.66139,1.13453,0.862,0.804,0.84371,0.51597,1.21782,0.60939,1.13557,0.008317,0.008317,0.008317
53,2693.63,1.15481,0.66975,1.13129,0.87218,0.79771,0.84766,0.52155,1.2226,0.60139,1.13873,0.008284,0.008284,0.008284
54,2744.6,1.14135,0.65532,1.12556,0.83376,0.82323,0.84481,0.51747,1.21571,0.61483,1.13942,0.008251,0.008251,0.008251
55,2795.3,1.15247,0.65743,1.12382,0.84842,0.81214,0.84585,0.51918,1.21417,0.61233,1.13605,0.008218,0.008218,0.008218
56,2845.92,1.15612,0.649,1.1279,0.84379,0.82137,0.84652,0.51487,1.23295,0.61528,1.14614,0.008185,0.008185,0.008185
57,2896.59,1.15279,0.65351,1.1273,0.85467,0.82264,0.84839,0.52091,1.21647,0.61306,1.13962,0.008152,0.008152,0.008152
58,2947.59,1.13739,0.65108,1.12281,0.85106,0.82481,0.84802,0.51824,1.23532,0.61017,1.14149,0.008119,0.008119,0.008119
59,2998.56,1.13776,0.65127,1.12498,0.8464,0.82698,0.85069,0.52141,1.2282,0.59936,1.14045,0.008086,0.008086,0.008086
60,3049.26,1.12384,0.63194,1.10696,0.85618,0.82203,0.84921,0.51882,1.23342,0.60061,1.14231,0.008053,0.008053,0.008053
61,3099.85,1.12924,0.63746,1.11814,0.84699,0.82554,0.84942,0.51732,1.22912,0.60913,1.13857,0.00802,0.00802,0.00802
62,3150.67,1.12182,0.64481,1.10912,0.85489,0.81461,0.84974,0.51992,1.21609,0.60066,1.13179,0.007987,0.007987,0.007987
63,3201.33,1.1338,0.64666,1.10982,0.85552,0.82385,0.85715,0.52302,1.21235,0.5966,1.12934,0.007954,0.007954,0.007954
64,3252.47,1.1277,0.64263,1.11181,0.85739,0.8237,0.8549,0.52089,1.22976,0.5984,1.14216,0.007921,0.007921,0.007921
65,3302.97,1.10948,0.63353,1.1086,0.85433,0.82,0.85312,0.52183,1.22736,0.59742,1.13848,0.007888,0.007888,0.007888
66,3353.45,1.10998,0.63007,1.10742,0.85009,0.83359,0.85593,0.52289,1.22452,0.59162,1.13962,0.007855,0.007855,0.007855
67,3403.97,1.09183,0.6206,1.0964,0.8549,0.83103,0.85664,0.52513,1.21573,0.5869,1.13515,0.007822,0.007822,0.007822
